filename,width,height,class,xmin,ymin,xmax,ymax
3.jpg,800,600,8h,604,210,628,264
3.jpg,800,600,8h,728,218,749,273
3.jpg,800,600,9h,31,318,51,374
3.jpg,800,600,9h,153,318,174,376
3.jpg,800,600,9h,31,493,54,550
3.jpg,800,600,9h,154,493,176,548
3.jpg,800,600,9d,220,325,243,382
3.jpg,800,600,9d,343,321,364,377
3.jpg,800,600,9d,228,498,249,553
3.jpg,800,600,9d,350,490,370,549
3.jpg,800,600,9s,411,328,433,386
3.jpg,800,600,9s,534,324,554,381
3.jpg,800,600,9s,418,500,439,557
3.jpg,800,600,9s,539,496,560,551
3.jpg,800,600,9c,607,328,628,384
3.jpg,800,600,9c,728,326,751,384
3.jpg,800,600,9c,609,500,631,558
3.jpg,800,600,9c,733,498,755,555
4.jpg,800,600,Th,31,44,52,98
4.jpg,800,600,Th,153,47,176,99
4.jpg,800,600,Th,31,220,53,275
4.jpg,800,600,Th,153,221,178,274
4.jpg,800,600,Td,227,48,250,103
4.jpg,800,600,Td,349,43,372,100
4.jpg,800,600,Td,235,221,257,278
4.jpg,800,600,Td,357,215,380,271
4.jpg,800,600,Ts,434,42,456,97
4.jpg,800,600,Ts,557,43,578,101
4.jpg,800,600,Ts,434,213,457,273
4.jpg,800,600,Ts,558,214,579,271
4.jpg,800,600,Tc,617,36,638,92
4.jpg,800,600,Tc,740,37,761,93
4.jpg,800,600,Tc,617,210,639,264
4.jpg,800,600,Tc,739,208,763,266
4.jpg,800,600,Jh,31,330,49,384
4.jpg,800,600,Jh,154,326,173,385
4.jpg,800,600,Jh,34,503,53,558
4.jpg,800,600,Jh,156,501,175,556
4.jpg,800,600,Jd,228,330,246,386
4.jpg,800,600,Jd,350,329,370,386
4.jpg,800,600,Jd,228,503,247,558
4.jpg,800,600,Jd,349,501,369,558
4.jpg,800,600,Js,420,327,438,385
4.jpg,800,600,Js,542,324,563,382
4.jpg,800,600,Js,423,501,444,556
4.jpg,800,600,Js,546,495,567,552
4.jpg,800,600,Jc,616,332,635,387
4.jpg,800,600,Jc,738,336,757,393
4.jpg,800,600,Jc,610,506,630,559
4.jpg,800,600,Jc,733,510,751,566
5.jpg,800,600,Qd,31,39,49,93
5.jpg,800,600,Qd,153,37,172,92
5.jpg,800,600,Qd,155,209,176,264
5.jpg,800,600,Qd,35,210,52,266
5.jpg,800,600,Qc,222,42,243,96
5.jpg,800,600,Qc,345,37,365,92
5.jpg,800,600,Qc,226,213,247,271
5.jpg,800,600,Qc,349,211,369,265
5.jpg,800,600,Qs,420,33,440,87
5.jpg,800,600,Qs,541,36,562,90
5.jpg,800,600,Qs,541,206,560,263
5.jpg,800,600,Qs,417,206,438,263
5.jpg,800,600,Qh,618,35,639,90
5.jpg,800,600,Qh,741,38,762,91
5.jpg,800,600,Qh,615,209,637,264
5.jpg,800,600,Qh,739,213,761,268
5.jpg,800,600,Kc,24,329,47,385
5.jpg,800,600,Kc,147,322,170,376
5.jpg,800,600,Kc,157,493,180,549
5.jpg,800,600,Kc,35,501,56,556
5.jpg,800,600,Ks,214,325,235,382
5.jpg,800,600,Ks,336,321,359,379
5.jpg,800,600,Ks,343,493,364,549
5.jpg,800,600,Ks,219,497,240,553
5.jpg,800,600,Kh,405,319,425,372
5.jpg,800,600,Kh,527,316,549,372
5.jpg,800,600,Kh,405,493,426,547
5.jpg,800,600,Kh,528,495,549,546
5.jpg,800,600,Kd,613,322,631,376
5.jpg,800,600,Kd,734,329,755,382
5.jpg,800,600,Kd,604,496,626,550
5.jpg,800,600,Kd,727,503,748,556
6.jpg,800,600,Ah,32,182,51,234
6.jpg,800,600,Ah,151,184,174,235
6.jpg,800,600,Ah,151,356,172,411
6.jpg,800,600,Ah,28,354,51,408
6.jpg,800,600,Ac,224,183,246,241
6.jpg,800,600,Ac,346,181,370,235
6.jpg,800,600,Ac,349,353,373,409
6.jpg,800,600,Ac,228,356,252,412
6.jpg,800,600,As,417,174,439,231
6.jpg,800,600,As,539,176,561,233
6.jpg,800,600,As,413,345,437,404
6.jpg,800,600,As,538,347,558,405
6.jpg,800,600,Ad,603,175,627,234
6.jpg,800,600,Ad,727,176,748,232
6.jpg,800,600,Ad,606,348,628,405
6.jpg,800,600,Ad,730,347,751,403
IMG_20200217_222751.jpg,800,600,7d,149,135,275,183
IMG_20200217_222751.jpg,800,600,7d,541,128,664,177
IMG_20200217_222751.jpg,800,600,7d,542,417,665,463
IMG_20200217_222751.jpg,800,600,7d,162,419,281,464
IMG_20200217_222757.jpg,800,600,7d,389,42,478,127
IMG_20200217_222757.jpg,800,600,7d,562,235,658,321
IMG_20200217_222757.jpg,800,600,7d,296,480,385,560
IMG_20200217_222757.jpg,800,600,7d,121,289,211,370
IMG_20200217_222811.jpg,800,600,7d,290,50,372,132
IMG_20200217_222811.jpg,800,600,7d,534,287,614,367
IMG_20200217_222811.jpg,800,600,7d,367,463,447,545
IMG_20200217_222811.jpg,800,600,7d,126,225,206,309
IMG_20200217_222845.jpg,800,600,7d,35,147,110,337
IMG_20200217_222845.jpg,800,600,7d,479,156,552,341
IMG_20200217_222916.jpg,800,600,6s,131,138,260,184
IMG_20200217_222916.jpg,800,600,6s,521,136,647,183
IMG_20200217_222916.jpg,800,600,6s,522,427,651,477
IMG_20200217_222916.jpg,800,600,6s,134,425,259,469
IMG_20200217_222921.jpg,800,600,6s,277,61,374,134
IMG_20200217_222921.jpg,800,600,6s,142,280,239,356
IMG_20200217_222921.jpg,800,600,6s,577,242,675,318
IMG_20200217_222921.jpg,800,600,6s,441,466,543,542
IMG_20200217_222943.jpg,800,600,6s,286,217,410,421
IMG_20200217_223012.jpg,800,600,4s,177,159,291,202
IMG_20200217_223012.jpg,800,600,4s,525,163,651,207
IMG_20200217_223012.jpg,800,600,4s,523,429,649,477
IMG_20200217_223012.jpg,800,600,4s,170,424,294,468
IMG_20200217_223015.jpg,800,600,6h,462,35,555,106
IMG_20200217_223015.jpg,800,600,6h,621,242,709,316
IMG_20200217_223015.jpg,800,600,6h,168,255,260,323
IMG_20200217_223015.jpg,800,600,6h,328,466,417,534
IMG_20200217_2230150.jpg,800,600,4s,299,71,402,149
IMG_20200217_2230150.jpg,800,600,4s,625,262,728,339
IMG_20200217_2230150.jpg,800,600,4s,485,513,594,592
IMG_20200217_2230150.jpg,800,600,4s,154,316,259,392
IMG_20200217_223020.jpg,800,600,6h,329,40,411,120
IMG_20200217_223020.jpg,800,600,6h,160,239,244,316
IMG_20200217_223020.jpg,800,600,6h,596,275,678,350
IMG_20200217_223020.jpg,800,600,6h,430,468,517,547
IMG_20200217_223029.jpg,800,600,4s,304,43,397,124
IMG_20200217_223029.jpg,800,600,4s,575,259,668,336
IMG_20200217_223029.jpg,800,600,4s,141,252,235,336
IMG_20200217_223029.jpg,800,600,4s,431,471,518,549
IMG_20200217_223034.jpg,800,600,4s,220,166,287,338
IMG_20200217_223034.jpg,800,600,4s,634,185,697,355
IMG_20200217_223035.jpg,800,600,6h,238,216,300,357
IMG_20200217_223035.jpg,800,600,6h,582,216,639,353
IMG_20200217_223040.jpg,800,600,6h,382,270,478,437
IMG_20200217_223042.jpg,800,600,4s,272,205,389,435
IMG_20200217_223052.jpg,800,600,7h,130,73,259,126
IMG_20200217_223052.jpg,800,600,7h,546,91,677,142
IMG_20200217_223052.jpg,800,600,7h,538,401,664,451
IMG_20200217_223052.jpg,800,600,7h,120,379,245,429
IMG_20200217_223056.jpg,800,600,7h,263,71,356,143
IMG_20200217_223056.jpg,800,600,7h,140,284,236,355
IMG_20200217_223056.jpg,800,600,7h,559,253,656,326
IMG_20200217_223056.jpg,800,600,7h,428,464,519,537
IMG_20200217_223100.jpg,800,600,9s,175,106,307,153
IMG_20200217_223100.jpg,800,600,9s,567,113,693,159
IMG_20200217_223100.jpg,800,600,9s,573,403,695,449
IMG_20200217_223100.jpg,800,600,9s,183,401,310,448
IMG_20200217_223102.jpg,800,600,7h,406,43,498,116
IMG_20200217_223102.jpg,800,600,7h,531,258,627,329
IMG_20200217_223102.jpg,800,600,7h,98,217,202,293
IMG_20200217_223102.jpg,800,600,7h,224,435,329,509
IMG_20200217_223107.jpg,800,600,7h,526,285,592,472
IMG_20200217_223107.jpg,800,600,7h,88,255,149,432
IMG_20200217_223108.jpg,800,600,9s,343,27,443,122
IMG_20200217_223108.jpg,800,600,9s,155,245,257,339
IMG_20200217_223108.jpg,800,600,9s,633,288,730,377
IMG_20200217_223108.jpg,800,600,9s,444,499,539,589
IMG_20200217_223112.jpg,800,600,9s,460,198,636,280
IMG_20200217_223117.jpg,800,600,7h,371,247,436,448
IMG_20200217_223118.jpg,800,600,9s,54,229,118,401
IMG_20200217_223118.jpg,800,600,9s,447,229,504,404
IMG_20200217_223126.jpg,800,600,8c,536,97,674,147
IMG_20200217_223126.jpg,800,600,8c,130,93,253,137
IMG_20200217_223126.jpg,800,600,8c,120,392,247,439
IMG_20200217_223126.jpg,800,600,8c,534,408,661,456
IMG_20200217_223130.jpg,800,600,Qs,115,191,227,233
IMG_20200217_223130.jpg,800,600,Qs,465,201,586,244
IMG_20200217_223130.jpg,800,600,Qs,456,463,576,509
IMG_20200217_223130.jpg,800,600,Qs,110,450,222,495
IMG_20200217_2231300.jpg,800,600,8c,136,270,231,347
IMG_20200217_2231300.jpg,800,600,8c,272,47,372,126
IMG_20200217_2231300.jpg,800,600,8c,579,248,677,327
IMG_20200217_2231300.jpg,800,600,8c,429,468,528,549
IMG_20200217_223134.jpg,800,600,8c,367,48,441,143
IMG_20200217_223134.jpg,800,600,8c,175,199,246,287
IMG_20200217_223134.jpg,800,600,8c,369,463,443,553
IMG_20200217_223134.jpg,800,600,8c,566,317,640,409
IMG_20200217_223139.jpg,800,600,Qs,417,71,530,147
IMG_20200217_223139.jpg,800,600,Qs,556,319,668,395
IMG_20200217_223139.jpg,800,600,Qs,89,259,194,334
IMG_20200217_223139.jpg,800,600,Qs,226,500,331,575
IMG_20200217_223141.jpg,800,600,8c,330,49,399,131
IMG_20200217_223141.jpg,800,600,8c,495,197,565,276
IMG_20200217_223141.jpg,800,600,8c,128,287,204,372
IMG_20200217_223141.jpg,800,600,8c,311,424,377,503
IMG_20200217_223143.jpg,800,600,Qs,299,63,386,139
IMG_20200217_223143.jpg,800,600,Qs,567,268,657,345
IMG_20200217_223143.jpg,800,600,Qs,409,468,501,548
IMG_20200217_223143.jpg,800,600,Qs,143,258,233,332
IMG_20200217_223146.jpg,800,600,8c,557,290,621,468
IMG_20200217_223146.jpg,800,600,8c,159,284,216,453
IMG_20200217_223150.jpg,800,600,8c,162,179,230,374
IMG_20200217_223150.jpg,800,600,8c,645,181,713,385
IMG_20200217_223152.jpg,800,600,Qs,147,224,223,369
IMG_20200217_223152.jpg,800,600,Qs,499,122,573,271
IMG_20200217_223157.jpg,800,600,Qs,107,222,176,387
IMG_20200217_223157.jpg,800,600,Qs,495,222,557,382
IMG_20200217_223158.jpg,800,600,8c,488,224,578,461
IMG_20200217_223210.jpg,800,600,3c,210,150,333,197
IMG_20200217_223210.jpg,800,600,3c,594,119,708,166
IMG_20200217_223210.jpg,800,600,3c,619,397,738,444
IMG_20200217_223210.jpg,800,600,3c,238,429,359,475
IMG_20200217_223213.jpg,800,600,3c,480,33,580,111
IMG_20200217_223213.jpg,800,600,3c,624,253,725,335
IMG_20200217_223213.jpg,800,600,3c,166,234,271,314
IMG_20200217_223213.jpg,800,600,3c,316,456,417,540
IMG_20200217_223215.jpg,800,600,2d,272,40,374,122
IMG_20200217_223215.jpg,800,600,2d,135,271,233,348
IMG_20200217_223215.jpg,800,600,2d,585,251,685,327
IMG_20200217_223215.jpg,800,600,2d,436,469,534,548
IMG_20200217_223219.jpg,800,600,3c,331,51,429,131
IMG_20200217_223219.jpg,800,600,3c,189,265,286,341
IMG_20200217_223219.jpg,800,600,3c,622,251,717,330
IMG_20200217_223219.jpg,800,600,3c,478,463,575,543
IMG_20200217_2232190.jpg,800,600,2d,355,8,437,86
IMG_20200217_2232190.jpg,800,600,2d,527,188,612,269
IMG_20200217_2232190.jpg,800,600,2d,92,240,182,323
IMG_20200217_2232190.jpg,800,600,2d,275,429,360,510
IMG_20200217_223225.jpg,800,600,2d,549,255,616,447
IMG_20200217_223225.jpg,800,600,2d,106,230,170,414
IMG_20200217_223227.jpg,800,600,3c,117,248,174,396
IMG_20200217_223227.jpg,800,600,3c,460,242,514,390
IMG_20200217_223232.jpg,800,600,3c,152,226,235,342
IMG_20200217_2232320.jpg,800,600,2d,315,214,398,461
IMG_20200217_223240.jpg,800,600,3d,529,129,657,177
IMG_20200217_223240.jpg,800,600,3d,124,121,251,166
IMG_20200217_223240.jpg,800,600,3d,122,421,248,463
IMG_20200217_223240.jpg,800,600,3d,528,429,650,472
IMG_20200217_223244.jpg,800,600,3d,360,57,437,150
IMG_20200217_223244.jpg,800,600,3d,162,214,243,304
IMG_20200217_223244.jpg,800,600,3d,576,324,656,414
IMG_20200217_223244.jpg,800,600,3d,383,479,465,576
IMG_20200217_223248.jpg,800,600,3d,396,38,478,119
IMG_20200217_223248.jpg,800,600,3d,558,218,641,296
IMG_20200217_223248.jpg,800,600,3d,141,268,232,353
IMG_20200217_223248.jpg,800,600,3d,312,443,402,527
IMG_20200217_223253.jpg,800,600,3d,561,169,635,362
IMG_20200217_223253.jpg,800,600,3d,121,183,182,368
IMG_20200217_223255.jpg,800,600,6c,162,150,294,199
IMG_20200217_223255.jpg,800,600,6c,562,160,685,205
IMG_20200217_223255.jpg,800,600,6c,564,451,691,497
IMG_20200217_223255.jpg,800,600,6c,167,455,289,499
IMG_20200217_223259.jpg,800,600,6c,448,56,555,124
IMG_20200217_223259.jpg,800,600,6c,591,290,698,362
IMG_20200217_223259.jpg,800,600,6c,120,234,227,314
IMG_20200217_223259.jpg,800,600,6c,263,482,365,555
IMG_20200217_223301.jpg,800,600,3d,365,150,439,361
IMG_20200217_223302.jpg,800,600,6c,224,190,299,277
IMG_20200217_223302.jpg,800,600,6c,405,27,481,114
IMG_20200217_223302.jpg,800,600,6c,622,277,697,361
IMG_20200217_223302.jpg,800,600,6c,442,437,519,524
IMG_20200217_223307.jpg,800,600,6c,271,283,329,432
IMG_20200217_223307.jpg,800,600,6c,630,259,696,409
IMG_20200217_223313.jpg,800,600,6c,452,269,551,401
IMG_20200217_223314.jpg,800,600,Ad,532,98,672,151
IMG_20200217_223314.jpg,800,600,Ad,83,109,224,160
IMG_20200217_223314.jpg,800,600,Ad,95,439,225,487
IMG_20200217_223314.jpg,800,600,Ad,537,440,680,492
IMG_20200217_223318.jpg,800,600,Ad,367,69,447,158
IMG_20200217_223318.jpg,800,600,Ad,183,233,259,318
IMG_20200217_223318.jpg,800,600,Ad,587,327,657,409
IMG_20200217_223318.jpg,800,600,Ad,400,484,471,573
IMG_20200217_223324.jpg,800,600,Ad,543,201,627,295
IMG_20200217_223324.jpg,800,600,Ad,365,22,443,103
IMG_20200217_223324.jpg,800,600,Ad,106,280,193,368
IMG_20200217_223324.jpg,800,600,Ad,307,455,390,541
IMG_20200217_223325.jpg,800,600,8d,193,133,321,179
IMG_20200217_223325.jpg,800,600,8d,584,143,702,191
IMG_20200217_223325.jpg,800,600,8d,581,429,704,478
IMG_20200217_223325.jpg,800,600,8d,189,424,312,471
IMG_20200217_223329.jpg,800,600,8d,376,82,452,155
IMG_20200217_223329.jpg,800,600,8d,221,257,302,330
IMG_20200217_223329.jpg,800,600,8d,462,465,539,539
IMG_20200217_223329.jpg,800,600,8d,613,295,689,365
IMG_20200217_223330.jpg,800,600,Ad,591,157,654,344
IMG_20200217_223330.jpg,800,600,Ad,148,165,209,343
IMG_20200217_223334.jpg,800,600,8d,440,46,512,129
IMG_20200217_223334.jpg,800,600,8d,630,195,700,283
IMG_20200217_223334.jpg,800,600,8d,224,311,302,395
IMG_20200217_223334.jpg,800,600,8d,422,463,497,546
IMG_20200217_223340.jpg,800,600,8d,249,213,314,366
IMG_20200217_223340.jpg,800,600,8d,615,167,690,334
IMG_20200217_223344.jpg,800,600,Ad,345,193,553,279
IMG_20200217_223345.jpg,800,600,8d,418,237,486,359
IMG_20200217_223345.jpg,800,600,8d,706,132,777,254
IMG_20200217_223350.jpg,800,600,4h,493,81,627,126
IMG_20200217_223350.jpg,800,600,4h,56,83,188,128
IMG_20200217_223350.jpg,800,600,4h,496,403,624,450
IMG_20200217_223350.jpg,800,600,4h,65,399,189,442
IMG_20200217_223353.jpg,800,600,Kc,138,116,256,164
IMG_20200217_223353.jpg,800,600,Kc,522,119,647,168
IMG_20200217_223353.jpg,800,600,Kc,517,406,651,460
IMG_20200217_223353.jpg,800,600,Kc,135,396,257,446
IMG_20200217_223355.jpg,800,600,4h,545,208,620,280
IMG_20200217_223355.jpg,800,600,4h,375,39,449,109
IMG_20200217_223355.jpg,800,600,4h,128,274,212,348
IMG_20200217_223355.jpg,800,600,4h,315,440,392,516
IMG_20200217_223359.jpg,800,600,4h,299,39,366,130
IMG_20200217_223359.jpg,800,600,4h,113,195,179,277
IMG_20200217_223359.jpg,800,600,4h,498,311,559,388
IMG_20200217_223359.jpg,800,600,4h,314,451,377,532
IMG_20200217_223402.jpg,800,600,Kc,333,58,421,142
IMG_20200217_223402.jpg,800,600,Kc,181,236,267,318
IMG_20200217_223402.jpg,800,600,Kc,421,443,505,529
IMG_20200217_223402.jpg,800,600,Kc,572,276,657,356
IMG_20200217_223403.jpg,800,600,4h,528,240,591,427
IMG_20200217_223403.jpg,800,600,4h,96,242,157,409
IMG_20200217_223408.jpg,800,600,Kc,448,71,539,151
IMG_20200217_223408.jpg,800,600,Kc,599,248,690,332
IMG_20200217_223408.jpg,800,600,Kc,190,284,283,365
IMG_20200217_223408.jpg,800,600,Kc,344,464,437,545
IMG_20200217_223410.jpg,800,600,4h,384,264,458,448
IMG_20200217_223418.jpg,800,600,2c,109,122,232,169
IMG_20200217_223418.jpg,800,600,2c,507,124,628,171
IMG_20200217_223418.jpg,800,600,2c,504,418,626,463
IMG_20200217_223418.jpg,800,600,2c,114,413,231,458
IMG_20200217_223422.jpg,800,600,2c,301,42,378,129
IMG_20200217_223422.jpg,800,600,2c,121,211,200,293
IMG_20200217_223422.jpg,800,600,2c,521,294,603,377
IMG_20200217_223422.jpg,800,600,2c,345,456,423,539
IMG_20200217_223432.jpg,800,600,2c,228,267,277,407
IMG_20200217_223432.jpg,800,600,2c,578,252,633,398
IMG_20200217_223438.jpg,800,600,Kc,297,177,358,314
IMG_20200217_223438.jpg,800,600,Kc,622,166,675,306
IMG_20200217_2234380.jpg,800,600,2c,301,182,507,261
IMG_20200217_223445.jpg,800,600,Kc,405,297,478,427
IMG_20200217_223445.jpg,800,600,Kc,709,221,778,352
IMG_20200217_223451.jpg,800,600,2h,516,150,637,193
IMG_20200217_223451.jpg,800,600,2h,116,116,235,163
IMG_20200217_223451.jpg,800,600,2h,97,409,212,455
IMG_20200217_223451.jpg,800,600,2h,491,442,613,490
IMG_20200217_223452.jpg,800,600,5s,199,131,320,170
IMG_20200217_223452.jpg,800,600,5s,570,116,693,164
IMG_20200217_223452.jpg,800,600,5s,580,398,705,444
IMG_20200217_223452.jpg,800,600,5s,204,405,330,449
IMG_20200217_223454.jpg,800,600,2h,300,30,383,111
IMG_20200217_223454.jpg,800,600,2h,113,210,199,291
IMG_20200217_223454.jpg,800,600,2h,545,279,622,358
IMG_20200217_223454.jpg,800,600,2h,372,457,454,540
IMG_20200217_223456.jpg,800,600,5s,466,26,576,105
IMG_20200217_223456.jpg,800,600,5s,605,260,712,343
IMG_20200217_223456.jpg,800,600,5s,136,218,249,300
IMG_20200217_223456.jpg,800,600,5s,282,456,392,535
IMG_20200217_223458.jpg,800,600,2h,402,50,482,113
IMG_20200217_223458.jpg,800,600,2h,532,242,614,305
IMG_20200217_223458.jpg,800,600,2h,122,229,214,303
IMG_20200217_223458.jpg,800,600,2h,267,427,351,495
IMG_20200217_223501.jpg,800,600,5s,300,28,414,117
IMG_20200217_223501.jpg,800,600,5s,622,240,725,323
IMG_20200217_223501.jpg,800,600,5s,468,470,575,550
IMG_20200217_223501.jpg,800,600,5s,155,269,262,351
IMG_20200217_223505.jpg,800,600,5s,447,243,494,379
IMG_20200217_223505.jpg,800,600,5s,114,242,165,389
IMG_20200217_223511.jpg,800,600,5s,323,139,388,274
IMG_20200217_223511.jpg,800,600,5s,15,201,78,335
IMG_20200217_2235110.jpg,800,600,2h,271,221,470,302
IMG_20200217_223511_1.jpg,800,600,2h,294,228,495,297
IMG_20200217_223519.jpg,800,600,2s,498,105,620,155
IMG_20200217_223519.jpg,800,600,2s,108,95,234,138
IMG_20200217_223519.jpg,800,600,2s,493,393,611,435
IMG_20200217_223519.jpg,800,600,2s,109,384,231,424
IMG_20200217_223520.jpg,800,600,Th,92,128,217,181
IMG_20200217_223520.jpg,800,600,Th,496,122,614,172
IMG_20200217_223520.jpg,800,600,Th,499,417,623,467
IMG_20200217_223520.jpg,800,600,Th,97,421,223,473
IMG_20200217_223521.jpg,800,600,2s,323,35,412,126
IMG_20200217_223521.jpg,800,600,2s,140,222,235,316
IMG_20200217_223521.jpg,800,600,2s,575,277,661,368
IMG_20200217_223521.jpg,800,600,2s,402,466,493,561
IMG_20200217_223523.jpg,800,600,Th,74,231,175,306
IMG_20200217_223523.jpg,800,600,Th,413,34,529,112
IMG_20200217_223523.jpg,800,600,Th,553,284,674,360
IMG_20200217_223523.jpg,800,600,Th,205,484,312,556
IMG_20200217_223525.jpg,800,600,2s,398,19,486,88
IMG_20200217_223525.jpg,800,600,2s,538,215,622,285
IMG_20200217_223525.jpg,800,600,2s,117,201,217,284
IMG_20200217_223525.jpg,800,600,2s,274,403,366,480
IMG_20200217_223528.jpg,800,600,Th,167,66,284,130
IMG_20200217_223528.jpg,800,600,Th,549,205,668,276
IMG_20200217_223528.jpg,800,600,Th,446,490,568,560
IMG_20200217_223528.jpg,800,600,Th,63,336,177,403
IMG_20200217_223529.jpg,800,600,2s,508,162,567,341
IMG_20200217_223529.jpg,800,600,2s,62,140,136,325
IMG_20200217_223540.jpg,800,600,9d,76,119,199,163
IMG_20200217_223540.jpg,800,600,9d,484,123,612,171
IMG_20200217_223540.jpg,800,600,9d,476,427,610,474
IMG_20200217_223540.jpg,800,600,9d,69,419,204,468
IMG_20200217_223546.jpg,800,600,9d,455,64,554,131
IMG_20200217_223546.jpg,800,600,9d,580,303,684,370
IMG_20200217_223546.jpg,800,600,9d,130,239,230,304
IMG_20200217_223546.jpg,800,600,9d,253,474,355,540
IMG_20200217_223552.jpg,800,600,9d,207,77,295,148
IMG_20200217_223552.jpg,800,600,9d,54,272,138,347
IMG_20200217_223552.jpg,800,600,9d,478,287,565,361
IMG_20200217_223552.jpg,800,600,9d,318,492,409,569
IMG_20200217_223557.jpg,800,600,9d,149,261,192,374
IMG_20200217_223557.jpg,800,600,9d,417,235,464,352
IMG_20200217_223600.jpg,800,600,7s,94,113,228,156
IMG_20200217_223600.jpg,800,600,7s,494,110,614,156
IMG_20200217_223600.jpg,800,600,7s,496,401,619,444
IMG_20200217_223600.jpg,800,600,7s,96,408,228,451
